team,division,home_wins,home_losses,away_wins,away_losses,points_per_game,yards_per_game,plays_per_game,average_yards_per_play,turnovers_per_game,first_downs_per_game,pass_per_game,pass_percentage,pass_touchdown_per_game,yards_per_pass,rush_per_game,rush_touchdown_per_game,yards_per_rush,scores_per_drive,turnovers_per_drive,allowed_points_per_game,allowed_yards_per_game,allowed_yards_per_play,allowed_pass_yards_per_play,allowed_rush_yards_per_play,turnovers_per_game,allowed_first_downs_per_game,allowed_pass_percentage,penalty_yards_against,allowed_scores_per_drive,turnovers_per_drive
patriots,"bills,jets,dolphins",8,0,3,5,27.25,393.4375,67.0625,5.9,1.125,22.8125,35.875,0.658536585365854,1.8125,7.2,29.875,1.125,4.3,40.8,9.2,20.3125,359.125,5.7,6.2,4.9,1.75,20.125,0.611570247933884,52.375,32.6,15
raiders,"chiefs,broncos,chargers",3,5,1,7,18.125,336.1875,62.1875,5.4,1.5,18.75,34.75,0.68705035971223,1.1875,6.2,24.1875,0.5625,4.2,31.3,13.6,29.1875,381.375,6.3,7.8,4.7,1.0625,19.8125,0.622916666666667,61.9375,44.3,9.8
rams,"49ers,seahawks,cardinals",7,1,6,2,32.9375,421.125,66.25,6.4,1.1875,25.0625,35.5,0.647887323943662,2,7.5,28.6875,1.4375,4.9,48.6,9.8,24,358.5625,6,6.6,5.1,1.875,20.125,0.651031894934334,53.25,38.2,16.9
ravens,"bengals,steelers,browns",6,2,4,4,24.3125,374.9375,70.9375,5.3,1.25,22.9375,34.75,0.600719424460432,1.125,6.1,34.1875,1.1875,4.5,40.7,10.7,17.9375,292.9375,4.8,5.4,3.7,1.0625,17.875,0.584055459272097,63.5625,29.1,9.5
redskins,"eagles,giants,cowboys",3,5,4,4,17.5625,299.6875,60.4375,5,1.1875,17.5,31.8125,0.611001964636542,1,5.5,25.875,0.75,4.3,31.8,11.2,22.4375,353.375,5.7,6.5,4.5,1.625,20.625,0.674115456238361,49.4375,35.1,14.6
saints,"falcons,buccaneers,panthers",6,2,7,1,31.5,379.1875,63.125,6,1,23.5625,32.4375,0.734104046242775,2.0625,7.5,29.4375,1.625,4.3,51.8,9.5,22.0625,349.0625,5.7,6.9,3.6,1.5,20.8125,0.670157068062827,50.875,36,14.6
seahawks,"49ers,cardinals,rams",6,2,4,4,26.75,353.3125,63.25,5.6,0.6875,20.5625,26.6875,0.655737704918033,2.1875,6.5,33.375,0.9375,4.8,39.8,6.1,21.6875,353.3125,5.9,6.5,4.9,1.625,20.1875,0.65018315018315,61.3125,35.2,14.2
steelers,"bengals,browns,ravens",5,3,4,3,26.75,403.3125,66.125,6.1,1.625,23.625,43.0625,0.666182873730044,2.1875,7,21.5625,1,4.2,36.8,14.3,22.5,327.1875,5.3,6,4.2,0.9375,19.8125,0.639575971731449,73.125,33.7,8.2
texans,"titans,colts,jaguars",6,2,5,3,25.125,362.625,65,5.6,1,20.8125,31.625,0.681818181818182,1.625,6.7,29.5,0.75,4.3,40.3,8.1,19.75,343.125,5.4,6.5,3.4,1.8125,18.625,0.648148148148148,59.0625,31.6,13.9
titans,"texans,colts,jaguars",6,2,3,5,19.375,312.625,58.75,5.3,1.125,18.0625,27.3125,0.670480549199085,1,6.1,28.5,0.9375,4.4,34.9,10.2,18.9375,333.375,5.3,6.1,4.3,1.0625,18.625,0.632270168855535,61.5,33.1,9.9
vikings,"lions,packers,bears",5,3,3,4,22.5,345.5625,62.6875,5.5,1.25,19.375,37.875,0.701320132013201,1.875,6.2,22.3125,0.5625,4.2,32.4,10.6,21.3125,309.6875,5,5.7,4.1,1.25,18.9375,0.62624254473161,52.125,33.7,10.5
